List Type,List Size,Algorithm,Run Time
Reverse Ordered Data,10,Bubble Sort,0.00001057
Reverse Ordered Data,10,Bubble Sort,0.00001094
Reverse Ordered Data,10,Bubble Sort,0.00001089
Reverse Ordered Data,10,Bubble Sort,0.00001091
Reverse Ordered Data,10,Bubble Sort,0.00001081
Reverse Ordered Data,10,Bubble Sort,0.00001095
Reverse Ordered Data,10,Bubble Sort,0.00001093
Reverse Ordered Data,10,Bubble Sort,0.00001099
Reverse Ordered Data,10,Bubble Sort,0.00001078
Reverse Ordered Data,10,Bubble Sort,0.00001087
Reverse Ordered Data,10,Bubble Sort,0.00001070
Reverse Ordered Data,10,Bubble Sort,0.00001091
Reverse Ordered Data,10,Bubble Sort,0.00001099
Reverse Ordered Data,10,Bubble Sort,0.00001077
Reverse Ordered Data,10,Bubble Sort,0.00001089
Reverse Ordered Data,10,Bubble Sort,0.00001059
Reverse Ordered Data,10,Bubble Sort,0.00001091
Reverse Ordered Data,10,Bubble Sort,0.00001069
Reverse Ordered Data,10,Bubble Sort,0.00001066
Reverse Ordered Data,10,Bubble Sort,0.00001082
Reverse Ordered Data,10,Bubble Sort,0.00001061
Reverse Ordered Data,10,Bubble Sort,0.00001095
Reverse Ordered Data,10,Bubble Sort,0.00001061
Reverse Ordered Data,10,Bubble Sort,0.00001059
Reverse Ordered Data,10,Bubble Sort,0.00001083
Reverse Ordered Data,10,Bubble Sort,0.00001032
Reverse Ordered Data,10,Bubble Sort,0.00001014
Reverse Ordered Data,10,Bubble Sort,0.00001012
Reverse Ordered Data,10,Bubble Sort,0.00001016
Reverse Ordered Data,10,Bubble Sort,0.00001027
Reverse Ordered Data,10,Bubble Sort,0.00001029
Reverse Ordered Data,10,Bubble Sort,0.00001050
Reverse Ordered Data,10,Bubble Sort,0.00001043
Reverse Ordered Data,10,Bubble Sort,0.00001022
Reverse Ordered Data,10,Bubble Sort,0.00001014
Reverse Ordered Data,10,Bubble Sort,0.00001033
Reverse Ordered Data,10,Bubble Sort,0.00001024
Reverse Ordered Data,10,Bubble Sort,0.00001007
Reverse Ordered Data,10,Bubble Sort,0.00001035
Reverse Ordered Data,10,Bubble Sort,0.00001008
Reverse Ordered Data,10,Bubble Sort,0.00001003
Reverse Ordered Data,10,Bubble Sort,0.00001065
Reverse Ordered Data,10,Bubble Sort,0.00001020
Reverse Ordered Data,10,Bubble Sort,0.00001004
Reverse Ordered Data,10,Bubble Sort,0.00000995
Reverse Ordered Data,10,Bubble Sort,0.00001008
Reverse Ordered Data,10,Bubble Sort,0.00001023
Reverse Ordered Data,10,Bubble Sort,0.00001062
Reverse Ordered Data,10,Bubble Sort,0.00001004
Reverse Ordered Data,10,Bubble Sort,0.00001049
Reverse Ordered Data,10,Bubble Sort,0.00001039
Reverse Ordered Data,10,Bubble Sort,0.00001143
Reverse Ordered Data,10,Bubble Sort,0.00000983
Reverse Ordered Data,10,Bubble Sort,0.00001348
Reverse Ordered Data,10,Bubble Sort,0.00001018
Reverse Ordered Data,10,Bubble Sort,0.00000980
Reverse Ordered Data,10,Bubble Sort,0.00000994
Reverse Ordered Data,10,Bubble Sort,0.00001006
Reverse Ordered Data,10,Bubble Sort,0.00001004
Reverse Ordered Data,10,Bubble Sort,0.00000991
Reverse Ordered Data,10,Bubble Sort,0.00001424
Reverse Ordered Data,10,Bubble Sort,0.00001077
Reverse Ordered Data,10,Bubble Sort,0.00001000
Reverse Ordered Data,10,Bubble Sort,0.00000983
Reverse Ordered Data,10,Bubble Sort,0.00000966
Reverse Ordered Data,10,Bubble Sort,0.00000983
Reverse Ordered Data,10,Bubble Sort,0.00001014
Reverse Ordered Data,10,Bubble Sort,0.00000988
Reverse Ordered Data,10,Bubble Sort,0.00000976
Reverse Ordered Data,10,Bubble Sort,0.00001082
Reverse Ordered Data,10,Bubble Sort,0.00003409
Reverse Ordered Data,10,Bubble Sort,0.00001072
Reverse Ordered Data,10,Bubble Sort,0.00000953
Reverse Ordered Data,10,Bubble Sort,0.00000923
Reverse Ordered Data,10,Bubble Sort,0.00000947
Reverse Ordered Data,10,Bubble Sort,0.00000929
Reverse Ordered Data,10,Bubble Sort,0.00000930
Reverse Ordered Data,10,Bubble Sort,0.00000967
Reverse Ordered Data,10,Bubble Sort,0.00000949
Reverse Ordered Data,10,Bubble Sort,0.00000948
Reverse Ordered Data,10,Bubble Sort,0.00000944
Reverse Ordered Data,10,Bubble Sort,0.00000940
Reverse Ordered Data,10,Bubble Sort,0.00000930
Reverse Ordered Data,10,Bubble Sort,0.00000967
Reverse Ordered Data,10,Bubble Sort,0.00000960
Reverse Ordered Data,10,Bubble Sort,0.00000935
Reverse Ordered Data,10,Bubble Sort,0.00000933
Reverse Ordered Data,10,Bubble Sort,0.00000951
Reverse Ordered Data,10,Bubble Sort,0.00000939
Reverse Ordered Data,10,Bubble Sort,0.00000949
Reverse Ordered Data,10,Bubble Sort,0.00000953
Reverse Ordered Data,10,Bubble Sort,0.00000949
Reverse Ordered Data,10,Bubble Sort,0.00000947
Reverse Ordered Data,10,Bubble Sort,0.00000939
Reverse Ordered Data,10,Bubble Sort,0.00000939
Reverse Ordered Data,10,Bubble Sort,0.00001019
Reverse Ordered Data,10,Bubble Sort,0.00000915
Reverse Ordered Data,10,Bubble Sort,0.00000903
Reverse Ordered Data,10,Bubble Sort,0.00000905
Reverse Ordered Data,10,Bubble Sort,0.00000914
Reverse Ordered Data,10,Bubble Sort,0.00000916
Reverse Ordered Data,10,Bubble Sort,0.00000891
Reverse Ordered Data,10,Bubble Sort,0.00000900
Reverse Ordered Data,10,Bubble Sort,0.00000903
Reverse Ordered Data,10,Bubble Sort,0.00000906
Reverse Ordered Data,10,Bubble Sort,0.00000932
