List Type,List Size,Algorithm,Run Time
Nearly Sorted Data,10,Bubble Sort,0.00000684
Nearly Sorted Data,10,Bubble Sort,0.00000485
Nearly Sorted Data,10,Bubble Sort,0.00000603
Nearly Sorted Data,10,Bubble Sort,0.00000588
Nearly Sorted Data,10,Bubble Sort,0.00000523
Nearly Sorted Data,10,Bubble Sort,0.00000609
Nearly Sorted Data,10,Bubble Sort,0.00000665
Nearly Sorted Data,10,Bubble Sort,0.00000266
Nearly Sorted Data,10,Bubble Sort,0.00000525
Nearly Sorted Data,10,Bubble Sort,0.00000774
Nearly Sorted Data,10,Bubble Sort,0.00000275
Nearly Sorted Data,10,Bubble Sort,0.00000606
Nearly Sorted Data,10,Bubble Sort,0.00000247
Nearly Sorted Data,10,Bubble Sort,0.00000731
Nearly Sorted Data,10,Bubble Sort,0.00000631
Nearly Sorted Data,10,Bubble Sort,0.00000377
Nearly Sorted Data,10,Bubble Sort,0.00000381
Nearly Sorted Data,10,Bubble Sort,0.00000366
Nearly Sorted Data,10,Bubble Sort,0.00000539
Nearly Sorted Data,10,Bubble Sort,0.00000253
Nearly Sorted Data,10,Bubble Sort,0.00000261
Nearly Sorted Data,10,Bubble Sort,0.00000661
Nearly Sorted Data,10,Bubble Sort,0.00000260
Nearly Sorted Data,10,Bubble Sort,0.00000847
Nearly Sorted Data,10,Bubble Sort,0.00000581
Nearly Sorted Data,10,Bubble Sort,0.00000445
Nearly Sorted Data,10,Bubble Sort,0.00000385
Nearly Sorted Data,10,Bubble Sort,0.00000768
Nearly Sorted Data,10,Bubble Sort,0.00000436
Nearly Sorted Data,10,Bubble Sort,0.00000670
Nearly Sorted Data,10,Bubble Sort,0.00000243
Nearly Sorted Data,10,Bubble Sort,0.00000343
Nearly Sorted Data,10,Bubble Sort,0.00000457
Nearly Sorted Data,10,Bubble Sort,0.00000468
Nearly Sorted Data,10,Bubble Sort,0.00000262
Nearly Sorted Data,10,Bubble Sort,0.00000452
Nearly Sorted Data,10,Bubble Sort,0.00000540
Nearly Sorted Data,10,Bubble Sort,0.00000545
Nearly Sorted Data,10,Bubble Sort,0.00000613
Nearly Sorted Data,10,Bubble Sort,0.00000616
Nearly Sorted Data,10,Bubble Sort,0.00000773
Nearly Sorted Data,10,Bubble Sort,0.00000537
Nearly Sorted Data,10,Bubble Sort,0.00000474
Nearly Sorted Data,10,Bubble Sort,0.00000591
