List Type,List Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Timsort,Heap Sort
Reverse Ordered Data,10,0.00000891,0.00000553,0.00000457,0.00000799,0.00000907,0.00000708,0.00000691
Reverse Ordered Data,100,0.00070592,0.00047407,0.00024632,0.00013498,0.00010770,0.00019676,0.00009166
Reverse Ordered Data,1000,0.07629674,0.04823849,0.02587597,0.00137753,0.00132810,0.00283117,0.00148190
Reverse Ordered Data,10000,7.72486590,4.90479549,2.51704557,0.01784714,0.01604450,0.02489960,0.02199854
Reverse Ordered Data,100000,> 300 seconds,> 300 seconds,255.25967298,0.21662405,0.18114220,0.32198930,0.28418885
Reverse Ordered Data,500000,> 300 seconds,> 300 seconds,> 300 seconds,1.19029644,1.00871994,1.93281948,1.61479479
Reverse Ordered Data,1000000,> 300 seconds,> 300 seconds,> 300 seconds,2.50111241,2.11685632,3.88353032,3.39443205
Reverse Ordered Data,10000000,> 300 seconds,> 300 seconds,> 300 seconds,29.33253768,23.48635729,35.80533205,39.70329170
