List Type,List Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Timsort,Heap Sort
Ordered Data,10,0.00000109,0.00000141,0.00000427,0.00000732,0.00000929,0.00000411,0.00000614
Ordered Data,100,0.00000449,0.00000833,0.00018252,0.00011014,0.00011482,0.00006360,0.00013183
Ordered Data,1000,0.00007513,0.00009892,0.01944000,0.00131133,0.00129886,0.00094769,0.00177336
Ordered Data,10000,0.00068617,0.00099589,1.92383595,0.01744286,0.01626148,0.01381974,0.02344022
Ordered Data,100000,0.00605024,0.01147867,192.46611211,0.21411353,0.19315166,0.18141140,0.30161272
Ordered Data,500000,0.02830118,0.05150714,> 300 seconds,1.18121620,0.99808346,0.96888450,1.70261248
Ordered Data,1000000,0.05816405,0.09947736,> 300 seconds,2.53203143,2.21733679,2.16848413,3.66059582
Ordered Data,10000000,0.60917685,0.98247343,> 300 seconds,29.25846121,23.72538079,25.12593420,41.11816163
