List Type,List Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Timsort,Heap Sort
Nearly Sorted Data,10,0.00000321,0.00000184,0.00000387,0.00000851,0.00001023,0.00000550,0.00000641
Nearly Sorted Data,100,0.00012071,0.00001284,0.00019071,0.00011059,0.00012636,0.00008225,0.00011789
Nearly Sorted Data,1000,0.01250421,0.00014328,0.01843305,0.00133410,0.00131842,0.00097238,0.00175072
Nearly Sorted Data,10000,1.33504357,0.00145455,1.89690437,0.01814614,0.01542009,0.01480885,0.02441215
Nearly Sorted Data,100000,130.14781679,0.01546932,192.03123873,0.21810394,0.18571134,0.17606946,0.29105504
Nearly Sorted Data,500000,> 300 seconds,0.06965841,> 300 seconds,1.18858248,0.98714948,0.97176305,1.64475948
Nearly Sorted Data,1000000,> 300 seconds,0.13863768,> 300 seconds,2.44202157,2.01613729,2.06984003,3.45637069
Nearly Sorted Data,10000000,> 300 seconds,1.66880961,> 300 seconds,28.51203213,23.49540403,25.10084838,40.75472750
