List Type,List Size,Algorithm,Run Time
Nearly Sorted Data,10,Bubble Sort,0.00000454
Nearly Sorted Data,10,Bubble Sort,0.00000724
Nearly Sorted Data,10,Bubble Sort,0.00000603
Nearly Sorted Data,10,Bubble Sort,0.00000473
Nearly Sorted Data,10,Bubble Sort,0.00000238
Nearly Sorted Data,10,Bubble Sort,0.00000544
Nearly Sorted Data,10,Bubble Sort,0.00000459
Nearly Sorted Data,10,Bubble Sort,0.00000377
Nearly Sorted Data,10,Bubble Sort,0.00000276
Nearly Sorted Data,10,Bubble Sort,0.00000449
Nearly Sorted Data,10,Bubble Sort,0.00000640
Nearly Sorted Data,10,Bubble Sort,0.00000754
Nearly Sorted Data,10,Bubble Sort,0.00000734
Nearly Sorted Data,10,Bubble Sort,0.00000555
Nearly Sorted Data,10,Bubble Sort,0.00000256
Nearly Sorted Data,10,Bubble Sort,0.00000269
Nearly Sorted Data,10,Bubble Sort,0.00000365
Nearly Sorted Data,10,Bubble Sort,0.00000619
Nearly Sorted Data,10,Bubble Sort,0.00000614
Nearly Sorted Data,10,Bubble Sort,0.00000447
Nearly Sorted Data,10,Bubble Sort,0.00000623
Nearly Sorted Data,10,Bubble Sort,0.00000456
Nearly Sorted Data,10,Bubble Sort,0.00000377
Nearly Sorted Data,10,Bubble Sort,0.00000519
Nearly Sorted Data,10,Bubble Sort,0.00000554
Nearly Sorted Data,10,Bubble Sort,0.00000384
Nearly Sorted Data,10,Bubble Sort,0.00000548
Nearly Sorted Data,10,Bubble Sort,0.00000446
Nearly Sorted Data,10,Bubble Sort,0.00000244
Nearly Sorted Data,10,Bubble Sort,0.00000254
Nearly Sorted Data,10,Bubble Sort,0.00000357
Nearly Sorted Data,10,Bubble Sort,0.00000351
Nearly Sorted Data,10,Bubble Sort,0.00000280
Nearly Sorted Data,10,Bubble Sort,0.00000791
Nearly Sorted Data,10,Bubble Sort,0.00000771
Nearly Sorted Data,10,Bubble Sort,0.00000344
Nearly Sorted Data,10,Bubble Sort,0.00000347
Nearly Sorted Data,10,Bubble Sort,0.00000692
Nearly Sorted Data,10,Bubble Sort,0.00000735
Nearly Sorted Data,10,Bubble Sort,0.00000725
Nearly Sorted Data,10,Bubble Sort,0.00000261
Nearly Sorted Data,10,Bubble Sort,0.00000450
Nearly Sorted Data,10,Bubble Sort,0.00000355
Nearly Sorted Data,10,Bubble Sort,0.00000854
Nearly Sorted Data,10,Bubble Sort,0.00000746
Nearly Sorted Data,10,Bubble Sort,0.00000668
Nearly Sorted Data,10,Bubble Sort,0.00000454
Nearly Sorted Data,10,Bubble Sort,0.00000450
Nearly Sorted Data,10,Bubble Sort,0.00000551
Nearly Sorted Data,10,Bubble Sort,0.00000373
Nearly Sorted Data,10,Bubble Sort,0.00000239
Nearly Sorted Data,10,Bubble Sort,0.00000672
Nearly Sorted Data,10,Bubble Sort,0.00000607
Nearly Sorted Data,10,Bubble Sort,0.00000534
Nearly Sorted Data,10,Bubble Sort,0.00000378
Nearly Sorted Data,10,Bubble Sort,0.00000589
Nearly Sorted Data,10,Bubble Sort,0.00000545
Nearly Sorted Data,10,Bubble Sort,0.00001120
Nearly Sorted Data,10,Bubble Sort,0.00000576
Nearly Sorted Data,10,Bubble Sort,0.00000368
Nearly Sorted Data,10,Bubble Sort,0.00000276
Nearly Sorted Data,10,Bubble Sort,0.00000747
Nearly Sorted Data,10,Bubble Sort,0.00000418
Nearly Sorted Data,10,Bubble Sort,0.00000649
Nearly Sorted Data,10,Bubble Sort,0.00000470
Nearly Sorted Data,10,Bubble Sort,0.00000903
Nearly Sorted Data,10,Bubble Sort,0.00000471
Nearly Sorted Data,10,Bubble Sort,0.00000433
Nearly Sorted Data,10,Bubble Sort,0.00000770
Nearly Sorted Data,10,Bubble Sort,0.00000427
Nearly Sorted Data,10,Bubble Sort,0.00005155
Nearly Sorted Data,10,Bubble Sort,0.00000650
Nearly Sorted Data,10,Bubble Sort,0.00000485
Nearly Sorted Data,10,Bubble Sort,0.00000815
Nearly Sorted Data,10,Bubble Sort,0.00000377
Nearly Sorted Data,10,Bubble Sort,0.00000506
Nearly Sorted Data,10,Bubble Sort,0.00000259
Nearly Sorted Data,10,Bubble Sort,0.00000702
Nearly Sorted Data,10,Bubble Sort,0.00000447
Nearly Sorted Data,10,Bubble Sort,0.00000460
Nearly Sorted Data,10,Bubble Sort,0.00000441
Nearly Sorted Data,10,Bubble Sort,0.00000360
Nearly Sorted Data,10,Bubble Sort,0.00001342
Nearly Sorted Data,10,Bubble Sort,0.00000615
Nearly Sorted Data,10,Bubble Sort,0.00000790
Nearly Sorted Data,10,Bubble Sort,0.00000751
Nearly Sorted Data,10,Bubble Sort,0.00000706
Nearly Sorted Data,10,Bubble Sort,0.00000268
Nearly Sorted Data,10,Bubble Sort,0.00000366
Nearly Sorted Data,10,Bubble Sort,0.00000248
Nearly Sorted Data,10,Bubble Sort,0.00000528
Nearly Sorted Data,10,Bubble Sort,0.00000268
Nearly Sorted Data,10,Bubble Sort,0.00000758
Nearly Sorted Data,10,Bubble Sort,0.00000659
Nearly Sorted Data,10,Bubble Sort,0.00000483
Nearly Sorted Data,10,Bubble Sort,0.00000252
Nearly Sorted Data,10,Bubble Sort,0.00000554
Nearly Sorted Data,10,Bubble Sort,0.00000677
Nearly Sorted Data,10,Bubble Sort,0.00000355
Nearly Sorted Data,10,Bubble Sort,0.00000899
Nearly Sorted Data,10,Bubble Sort,0.00000388
Nearly Sorted Data,10,Bubble Sort,0.00000394
Nearly Sorted Data,10,Bubble Sort,0.00000550
Nearly Sorted Data,10,Bubble Sort,0.00000372
Nearly Sorted Data,10,Bubble Sort,0.00000344
Nearly Sorted Data,10,Bubble Sort,0.00000455
Nearly Sorted Data,10,Bubble Sort,0.00000593
Nearly Sorted Data,10,Bubble Sort,0.00000653
Nearly Sorted Data,10,Bubble Sort,0.00000487
Nearly Sorted Data,10,Bubble Sort,0.00000340
Nearly Sorted Data,10,Bubble Sort,0.00000446
Nearly Sorted Data,10,Bubble Sort,0.00000453
Nearly Sorted Data,10,Bubble Sort,0.00000261
Nearly Sorted Data,10,Bubble Sort,0.00000716
Nearly Sorted Data,10,Bubble Sort,0.00000275
Nearly Sorted Data,10,Bubble Sort,0.00000368
Nearly Sorted Data,10,Bubble Sort,0.00000718
Nearly Sorted Data,10,Bubble Sort,0.00000347
Nearly Sorted Data,10,Bubble Sort,0.00000454
Nearly Sorted Data,10,Bubble Sort,0.00000783
Nearly Sorted Data,10,Bubble Sort,0.00000366
Nearly Sorted Data,10,Bubble Sort,0.00000529
Nearly Sorted Data,10,Bubble Sort,0.00000458
Nearly Sorted Data,10,Bubble Sort,0.00000240
Nearly Sorted Data,10,Bubble Sort,0.00000550
Nearly Sorted Data,10,Bubble Sort,0.00002696
Nearly Sorted Data,10,Bubble Sort,0.00000623
Nearly Sorted Data,10,Bubble Sort,0.00000542
Nearly Sorted Data,10,Bubble Sort,0.00000578
Nearly Sorted Data,10,Bubble Sort,0.00000530
Nearly Sorted Data,10,Bubble Sort,0.00000514
Nearly Sorted Data,10,Bubble Sort,0.00000537
Nearly Sorted Data,10,Bubble Sort,0.00000676
Nearly Sorted Data,10,Bubble Sort,0.00000352
Nearly Sorted Data,10,Bubble Sort,0.00000367
Nearly Sorted Data,10,Bubble Sort,0.00000455
Nearly Sorted Data,10,Bubble Sort,0.00000263
Nearly Sorted Data,10,Bubble Sort,0.00000619
Nearly Sorted Data,10,Bubble Sort,0.00000619
