List Type,List Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Timsort,Heap Sort
Nearly Sorted Data,10,0.00000377,0.00000213,0.00000477,0.00001091,0.00000910,0.00000744,0.00000817
Nearly Sorted Data,100,0.00013780,0.00001410,0.00021610,0.00011362,0.00010782,0.00006438,0.00013186
Nearly Sorted Data,1000,0.02393076,0.00068674,0.01953928,0.00142330,0.00130203,0.00105058,0.00174610
Nearly Sorted Data,10000,2.62594109,0.05376825,1.90283881,0.01952987,0.01584743,0.01581620,0.02347328
Nearly Sorted Data,100000,271.02285337,5.22449377,191.15895102,0.22889707,0.18333690,0.20148674,0.29274386
Nearly Sorted Data,500000,> 300 seconds,130.89002055,> 300 seconds,1.37515184,1.07038741,1.19607550,1.69934626
Nearly Sorted Data,1000000,> 300 seconds,> 300 seconds,> 300 seconds,2.82524435,2.04854207,2.41807013,3.57397185
Nearly Sorted Data,10000000,> 300 seconds,> 300 seconds,> 300 seconds,33.09325091,24.77716319,30.05435145,43.57910004
