List Type,List Size,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Quick Sort,Timsort,Heap Sort
Duplicates Data,10,0.00000547,0.00000306,0.00000458,0.00000926,0.00001220,0.00000696,0.00000809
Duplicates Data,100,0.00035377,0.00018343,0.00021004,0.00013997,0.00024114,0.00012057,0.00010976
Duplicates Data,1000,0.03939939,0.01606495,0.02002884,0.00150270,0.00959333,0.00177861,0.00134103
Duplicates Data,10000,4.42811547,1.83470731,1.98128499,0.02077604,0.44629501,0.02101773,0.02079622
Duplicates Data,100000,> 300 seconds,200.35769983,188.23770167,0.25456493,4.48247120,0.27907759,0.29046246
Duplicates Data,500000,> 300 seconds,> 300 seconds,> 300 seconds,1.43819456,22.60141396,1.70588034,1.64441299
Duplicates Data,1000000,> 300 seconds,> 300 seconds,> 300 seconds,3.00628225,44.44055653,3.42678771,3.49701717
Duplicates Data,10000000,> 300 seconds,> 300 seconds,> 300 seconds,35.00153886,> 300 seconds,36.73655035,45.50912728
