List Type,List Size,Algorithm,Run Time
Duplicates Data,10,Bubble Sort,0.00000610
Duplicates Data,10,Bubble Sort,0.00000716
Duplicates Data,10,Bubble Sort,0.00000479
Duplicates Data,10,Bubble Sort,0.00000658
Duplicates Data,10,Bubble Sort,0.00000604
Duplicates Data,10,Bubble Sort,0.00000695
Duplicates Data,10,Bubble Sort,0.00000569
Duplicates Data,10,Bubble Sort,0.00000817
Duplicates Data,10,Bubble Sort,0.00000519
Duplicates Data,10,Bubble Sort,0.00000724
Duplicates Data,10,Bubble Sort,0.00000723
Duplicates Data,10,Bubble Sort,0.00000510
Duplicates Data,10,Bubble Sort,0.00000780
Duplicates Data,10,Bubble Sort,0.00000439
Duplicates Data,10,Bubble Sort,0.00000834
Duplicates Data,10,Bubble Sort,0.00000729
Duplicates Data,10,Bubble Sort,0.00000788
Duplicates Data,10,Bubble Sort,0.00000555
Duplicates Data,10,Bubble Sort,0.00000701
Duplicates Data,10,Bubble Sort,0.00000845
Duplicates Data,10,Bubble Sort,0.00000663
Duplicates Data,10,Bubble Sort,0.00000850
Duplicates Data,10,Bubble Sort,0.00000560
Duplicates Data,10,Bubble Sort,0.00000788
Duplicates Data,10,Bubble Sort,0.00000649
Duplicates Data,10,Bubble Sort,0.00000681
Duplicates Data,10,Bubble Sort,0.00000761
Duplicates Data,10,Bubble Sort,0.00000422
Duplicates Data,10,Bubble Sort,0.00000682
Duplicates Data,10,Bubble Sort,0.00000660
Duplicates Data,10,Bubble Sort,0.00000641
Duplicates Data,10,Bubble Sort,0.00000521
Duplicates Data,10,Bubble Sort,0.00000743
Duplicates Data,10,Bubble Sort,0.00000506
Duplicates Data,10,Bubble Sort,0.00000734
Duplicates Data,10,Bubble Sort,0.00000685
Duplicates Data,10,Bubble Sort,0.00000825
Duplicates Data,10,Bubble Sort,0.00000525
Duplicates Data,10,Bubble Sort,0.00000470
Duplicates Data,10,Bubble Sort,0.00000818
Duplicates Data,10,Bubble Sort,0.00000680
Duplicates Data,10,Bubble Sort,0.00000588
Duplicates Data,10,Bubble Sort,0.00000699
Duplicates Data,10,Bubble Sort,0.00000633
Duplicates Data,10,Bubble Sort,0.00000567
Duplicates Data,10,Bubble Sort,0.00000624
Duplicates Data,10,Bubble Sort,0.00000805
Duplicates Data,10,Bubble Sort,0.00000601
Duplicates Data,10,Bubble Sort,0.00000482
Duplicates Data,10,Bubble Sort,0.00000732
Duplicates Data,10,Bubble Sort,0.00000444
Duplicates Data,10,Bubble Sort,0.00000591
Duplicates Data,10,Bubble Sort,0.00000674
Duplicates Data,10,Bubble Sort,0.00000593
Duplicates Data,10,Bubble Sort,0.00000591
Duplicates Data,10,Bubble Sort,0.00000646
Duplicates Data,10,Bubble Sort,0.00000585
Duplicates Data,10,Bubble Sort,0.00000845
Duplicates Data,10,Bubble Sort,0.00000932
Duplicates Data,10,Bubble Sort,0.00000525
Duplicates Data,10,Bubble Sort,0.00000693
Duplicates Data,10,Bubble Sort,0.00000679
