List Type,List Size,Algorithm,Run Time
Random Data,10,Bubble Sort,0.00001359
Random Data,10,Bubble Sort,0.00001452
Random Data,10,Bubble Sort,0.00000798
Random Data,10,Bubble Sort,0.00001464
Random Data,10,Bubble Sort,0.00001127
Random Data,10,Bubble Sort,0.00001479
Random Data,10,Bubble Sort,0.00001225
Random Data,10,Bubble Sort,0.00000997
Random Data,10,Bubble Sort,0.00001332
Random Data,10,Bubble Sort,0.00001583
Random Data,10,Bubble Sort,0.00001525
Random Data,10,Bubble Sort,0.00001300
Random Data,10,Bubble Sort,0.00002274
Random Data,10,Bubble Sort,0.00001053
Random Data,10,Bubble Sort,0.00001287
Random Data,10,Bubble Sort,0.00002675
Random Data,10,Bubble Sort,0.00001210
Random Data,10,Bubble Sort,0.00001063
Random Data,10,Bubble Sort,0.00001262
Random Data,10,Bubble Sort,0.00001583
Random Data,10,Bubble Sort,0.00001296
Random Data,10,Bubble Sort,0.00000822
Random Data,10,Bubble Sort,0.00000971
Random Data,10,Bubble Sort,0.00000902
Random Data,10,Bubble Sort,0.00001171
Random Data,10,Bubble Sort,0.00001473
Random Data,10,Bubble Sort,0.00001337
Random Data,10,Bubble Sort,0.00001356
Random Data,10,Bubble Sort,0.00001157
Random Data,10,Bubble Sort,0.00000703
Random Data,10,Bubble Sort,0.00001001
Random Data,10,Bubble Sort,0.00001049
Random Data,10,Bubble Sort,0.00000994
Random Data,10,Bubble Sort,0.00001083
Random Data,10,Bubble Sort,0.00001333
Random Data,10,Bubble Sort,0.00001039
Random Data,10,Bubble Sort,0.00001108
Random Data,10,Bubble Sort,0.00001062
Random Data,10,Bubble Sort,0.00001086
Random Data,10,Bubble Sort,0.00001130
Random Data,10,Bubble Sort,0.00001184
Random Data,10,Bubble Sort,0.00000863
Random Data,10,Bubble Sort,0.00001241
Random Data,10,Bubble Sort,0.00001336
Random Data,10,Bubble Sort,0.00001005
Random Data,10,Bubble Sort,0.00001030
Random Data,10,Bubble Sort,0.00001407
Random Data,10,Bubble Sort,0.00000895
Random Data,10,Bubble Sort,0.00000953
Random Data,10,Bubble Sort,0.00001334
Random Data,10,Bubble Sort,0.00001462
Random Data,10,Bubble Sort,0.00001122
Random Data,10,Bubble Sort,0.00001211
Random Data,10,Bubble Sort,0.00001080
Random Data,10,Bubble Sort,0.00001263
Random Data,10,Bubble Sort,0.00000761
Random Data,10,Bubble Sort,0.00000811
Random Data,10,Bubble Sort,0.00001346
Random Data,10,Bubble Sort,0.00001287
Random Data,10,Bubble Sort,0.00001277
Random Data,10,Bubble Sort,0.00001356
Random Data,10,Bubble Sort,0.00000757
Random Data,10,Bubble Sort,0.00001302
Random Data,10,Bubble Sort,0.00001092
